time,open,high,low,close,volume,spread
2018-01-02 04:00:00+00:00,112.685,112.696,112.608,112.628,1530,0
2018-01-02 08:00:00+00:00,112.628,112.634,112.114,112.227,3339,0
2018-01-02 12:00:00+00:00,112.227,112.263,112.053,112.146,4257,0
2018-01-02 16:00:00+00:00,112.147,112.348,112.098,112.255,3481,0
2018-01-02 20:00:00+00:00,112.256,112.343,112.165,112.252,4072,0
2018-01-03 00:00:00+00:00,112.253,112.391,112.215,112.338,3188,0
2018-01-03 04:00:00+00:00,112.338,112.388,112.234,112.35,2360,0
2018-01-03 08:00:00+00:00,112.35,112.374,112.214,112.23,3071,0
2018-01-03 12:00:00+00:00,112.229,112.497,112.188,112.393,3933,0
2018-01-03 16:00:00+00:00,112.394,112.604,112.273,112.524,3687,0
2018-01-03 20:00:00+00:00,112.524,112.615,112.408,112.605,3242,0
2018-01-04 00:00:00+00:00,112.605,112.774,112.604,112.664,3433,0
2018-01-04 04:00:00+00:00,112.662,112.665,112.488,112.578,3076,0
2018-01-04 08:00:00+00:00,112.578,112.669,112.526,112.599,3161,0
2018-01-04 12:00:00+00:00,112.6,112.85,112.595,112.769,4534,0
2018-01-04 16:00:00+00:00,112.771,112.86,112.723,112.747,3482,0
2018-01-04 20:00:00+00:00,112.746,112.8,112.698,112.8,2754,0
2018-01-05 00:00:00+00:00,112.8,112.846,112.722,112.829,3348,0
2018-01-05 04:00:00+00:00,112.829,113.149,112.825,113.142,3020,0
2018-01-05 08:00:00+00:00,113.142,113.284,113.135,113.229,3035,0
2018-01-05 12:00:00+00:00,113.229,113.297,113.02,113.226,6120,0
2018-01-05 16:00:00+00:00,113.225,113.237,113.121,113.14,2460,0
2018-01-05 20:00:00+00:00,113.141,113.145,113.028,113.038,1228,0
2018-01-08 00:00:00+00:00,113.152,113.198,113.08,113.176,2314,0
2018-01-08 04:00:00+00:00,113.176,113.382,113.17,113.369,2131,0
2018-01-08 08:00:00+00:00,113.37,113.371,113.078,113.1,2765,0
2018-01-08 12:00:00+00:00,113.099,113.099,112.879,112.971,4110,0
2018-01-08 16:00:00+00:00,112.973,113.122,112.953,113.07,3089,0
2018-01-08 20:00:00+00:00,113.069,113.168,113.046,113.147,2929,0
2018-01-09 00:00:00+00:00,113.146,113.177,112.496,112.623,5424,0
2018-01-09 04:00:00+00:00,112.623,112.797,112.568,112.735,3497,0
2018-01-09 08:00:00+00:00,112.735,112.964,112.639,112.661,3853,0
2018-01-09 12:00:00+00:00,112.662,112.774,112.358,112.429,5448,0
2018-01-09 16:00:00+00:00,112.428,112.664,112.428,112.627,4198,0
2018-01-09 20:00:00+00:00,112.626,112.774,112.57,112.774,3053,0
2018-01-10 00:00:00+00:00,112.773,112.776,112.164,112.283,5629,0
2018-01-10 04:00:00+00:00,112.283,112.377,111.754,111.943,6008,0
2018-01-10 08:00:00+00:00,111.941,111.953,111.295,111.398,8194,0
2018-01-10 12:00:00+00:00,111.397,111.642,111.262,111.347,7847,0
2018-01-10 16:00:00+00:00,111.345,111.54,111.339,111.341,5060,0
2018-01-10 20:00:00+00:00,111.344,111.457,111.287,111.457,4231,0
2018-01-11 00:00:00+00:00,111.456,111.748,111.329,111.685,6063,0
2018-01-11 04:00:00+00:00,111.686,111.871,111.665,111.778,4475,0
2018-01-11 08:00:00+00:00,111.777,111.792,111.57,111.615,4347,0
2018-01-11 12:00:00+00:00,111.613,111.765,111.328,111.396,7741,0
2018-01-11 16:00:00+00:00,111.396,111.451,111.041,111.081,4755,0
